Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,description_magnitude,description_score,Lines_of_description
2,Nibble,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,8480853f516546f6cf33aa88cd76c379,0,86e1089a3,1,2,2.4,0.3,6
2,No Name Yet,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,3082c7125d8fb66f7dd4bff4192c8b14,0,6296e909a,2,0,0.7,-0.2,2
1,Brisco,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,3422e4906,7,3,3.7,0.2,7
1,Miko,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,9238e4f44c71a75282e62f7136c6b240,0,5842f1ff5,8,2,0.9,0.9,1
1,Hunter,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,850a43f90,3,2,3.7,0.6,6
2,,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,22fe332bf9c924d4718005891c63fbed,0,d24c30b4b,2,2,0.2,0,2
2,BULAT,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,1e0b5a458b5b77f5af581d57ebf570b3,0,1caa6fcdb,3,1,0.5,0.2,2
1,Siu Pak & Her 6 Puppies,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,1fba5f6e5480946254590d48f9c5198d,0,97aa9eeac,9,3,0.9,0.1,3
2,,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,d8af7afece71334473575c9f70daf00d,0,c06d167ca,6,1,0.5,0.1,2
2,Kitty,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,1f3f36e4b18e94855b3e88af0852fdc4,0,7a0942d61,2,4,1.1,0.2,3
1,Bear,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,8b693ca84,7,1,0.8,0.8,1
2,Kali,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,a9caef3f98e67bfac9093cca79e20b93,0,8e76c8e39,2,1,4.4,0.3,10
1,Peanut,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,aaedd873d,1,2,2.9,0.4,6
2,2 Mths Old Cute Kitties,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,2c118b2a1d1b4cf1f735089c7c0a07c0,0,4a9793dfb,1,1,2.6,0.4,6
1,Lost Dog,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,b609c40c6c840db208b149a19b856f86,0,c02be41e6,2,2,3.4,0.1,10
1,Max,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,39112c637c80a6055e8ec544416abffe,0,1fd342e17,2,4,1.8,0.6,3
2,Brownie,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,58e3aa0b4b78e8879f81774ede0646fe,0,b38a74866,1,3,0.9,0.9,1
1,Blackie,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,4e3dec1544d1407fce5d65fd0f037e26,0,f9d07d5fa,2,4,1,0.3,3
1,Beauty,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,1c92ce464,8,2,1.8,0.1,4
1,Godiva,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,6436c1a59,7,2,2.2,0.3,6
1,Tigers,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,fa7cd6caa034d4332fc75d70807e83a3,0,234a5a54c,5,4,0.6,0.6,1
2,"Kenit, Kenot, Techit, Keyad, Owen",0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,97be67995b53f86f64be212c867009fa,0,1bc0f89d8,0,4,1.1,0.5,2
1,Donut,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,1bf24d8be,0,4,3.4,0.2,7
